,tweet,label
44,obamas sustained efforts to claim hes not responsible for anything belong in a letter of resignation not a reelection campaign,-1
45,reporter are you aware michelle voted for you yesterday obama thank goodness,0
46,obama is having a debate around the corner from my gaf security is crazy,0
47, obama reminds me of my  kids the other one did it what an ego he has,-1
48,obama walked to a short debate prep session this morning with advisers anita dunn and david plouffe told reporters hes feeling fabulous,0
49, looks like obama may need two good debates now if he is to assure victory,0
50,here ya go romney lovers whats crazy is i had no idea he was so evil towards women fucking stand up for what is right ,0
51,liberals were depressed after obamas debate which is tough bcuz if u lock urself in a garage w a running priusnothing happens b maher,0
52, vote obama ,1
53,obama wont make eye contact debatepredictions,0
54,if obama dont win its gonna be lotta more sin the lack of money is the root of all evil inspire insta ,0
55,townhallquestions mr obama why is it someone else had to help your brother in kenya why do so many others have to do yur job,-1
56,join me in supporting support president obamas agenda via ,1
57,president obama need to understand after he win his second term n the white house u cant b too nice  these republicans anymore,0
58,japan set to become biggest foreign creditor think they forgot about us nuking them obama is giving us to our enemies romney debate,-1
59, and im barack obama go fk yourself america,-1
60, if i were amerian i would vote for obama,1
61,i highly doubt that after barack we wont have another black president for a very long time,0
62, i hate the fact that people feel every black person should support obama simply because hes black,0
63, pshh go on somewhere with that obama shit,-1
64,obamas mentor as a teen and young adult was frank marshall davis look up that name real quick sketchybusiness,0
65,obamaworld rt only  of israelis think obama favors israel over the palestinians ,-1
66, a very dirty  incestuous relationship exists between obama  clintons,-1
67,our future is in our own hands dont let that white mother fucka win vote obama,1
68,koch brothers threaten to fire employees if obama wins  rt via ,0
69,obama needs a great performance he could flip back va and co or lose oh tonight this is where i have the race ,0
70, what war the one on women i thought obama ended the war on terror wasnt fort hood shooting just workplace violence,-1
71, last campaign obama had yes we can change ,0
72,this is an amazing list of obamas economic failures note one type dropped a zero on median home price in detroit,-1
73,i predict that obama will channel joe in debate and will fall even further in polls ,0
74,hillary is just another bump in the road under the obama runaway bus,-1
75,susan rice no my comments about the video werent influenced by obama campaign teaparty tcot resist ,0
76, i have tremendous faith in pres obama hes not let me in particular down once ill always have his back no matter what,1
77,acspollen genius obamas changes you have to watch this comedygold tcot  this is great,0
78,obama  biden keep saying were more respected in the world but we cant get n korea to the table come on ,-1
79,sheesh lying is all he can do right obama falsely claim we got back every dime of bailout money on same day cbo reports  billion loss,-1
80,rt every grandparent who has an obama sticker on their car ought to have an i hate my grandkids sticker just underneath it,-1
81,no matter which way obama attempts  bloviate out of it tonight he has baggage  americans are living it can not talk his way out of that,-1
82, and tonights debate isnt going to help obama in any way,0
83,obama is the actual safest ,0
84,obama may not be a socialist in the strict dictionary definition but he is sure heading the country in that direction is that what we want,-1
85,obama tonight i wanna see less king and more malcolm debate,0
86,how obamas fuel standards are shaping the future of transportation ,0
87,thanks obama for no classes today ,1
88,i wont believe its real until ross produces supporting charts rt ross perot endorses mitt romney for president ,0
89,now obamas  promises remind me of the high school kid running for class president who will put a coke machine in the cafeteria,-1
90,showed picture of obama to my yr  class lots knew name but none knew what he did could all name one direction but didnt know olympians,0
91, he is not a man with strong personal or professional convictions is resume builder dont pimp america go on cruise,0
92,barack down wit the tits obama ,0
93,i banned cnn in my house a long time ago this proves why cnn host goes to battle for obama ,0
94, romney or obama obama o b a m a,1
95, of green energy loans went to obama donors a at least  of these green energy companies went bust tcot ,-1
96,kareen obama cant win again white people will be furious thats just asking for his kids to get kidnapped,-1
97,the only way obamadems can win is fraud voter fraud is the way to americas destruction  chuck norris  page  ,-1
98,go obama hoy nos desquitamos,0
99,obama gettin my vote just cause hes black and idgaf  ,1
100,if obama can do it so can i,0
101,rt just  days until election day rt if youre ready to cheer on president obama in tonights debate teamobamabiden,1
102,armed forces show overwhelming support for obama  opensecrets blog  opensecrets ,1
103,  president obama what are some of the policies over the last  years that were blocked by congress that could have helped,-1
104,obama will try to bend town hall debate format to his advantage ,0
105,debatepredictions big bird wont save obama from looking like a total embarrassment in regards to the benghazi coverup,-1
106,something we all knew  obama doesnt really like people this is why he can throw people under the bus so easily ,-1
107,top  reasons via you tube clearly states the agenda of obama,0
108, i love how the polls are reported by the news when obama was in the lead they were saying how important they were and now,0
109,senate hopeful thompsons son says send obama back to kenya  yahoo news via ,-1
110,if everyone was able to vote for obama vs romney and you chose to vote for romney i would never speak to you again,1
111,obama had to okay hillaryclinton going on air to take responsibility bottom line if he had any loyalty to her he wouldnt have agreed,-1
112,and when you are justifying actions of the worlds most dreaded terrorist obama you are taking side of terrorism fail ,-1
113,if i ever have kids i will tell them how barack obama was a terrible president,-1
114,obama is  mins away driving thru li wont be a good look on this day,0
115,obama will lose the debate tonight lies cover ups and no leadership will do him in again,-1
116,today in  barack obama misled in debate on born alive infants protection act abortion prolife,-1
117,scholastic news has obama winning again theyve only been wrong in  elections but has been right since nixon,0
118,i hope ppl are smarter than im voting for the obama cuz hes black do u knw why u r voting for the black guy or u just are,0
119,some may feel like obama has this in the bag especially in md but never get comfortable not until every last damn vote is accounted for,0
120,the obama puppet will perform for you for the  top obama conspiracy videos at ,-1
121, wrong reagan and jfk did it and reagan inherited a worse economy than obama did,0
122,reporter are you aware michelle voted for you yesterday obama turning to yell back thank goodness,0
123, obama delivered pizza to volunteer campaign workers this weekend hes obviously preparing for life in the private sector,-1
124,i voted for president obama last time around and im very disappointed in his job hes been a pisspoor president  thanks ,-1
125,obama will unleash his alter ego superpimp for the debatelast time he forgot his pimp cane and hat and held back superpimp,0
126,hey obama suck my ass too,-1
127,smart women know when obama said his policies would cause energy prices to skyrocket he meant it,-1
128,getting excited for obamas visit tomorrow then read this ,0
129,rt i would like to reiterate that can answer anything obama says tomorrow with libya and  trillion debateprep,-1
130,can obama find an intelligence patsy to take blame for bogus video excuse for benghazi attack tcot p obama lies,-1
131,the closer it gets to the election the more obama wants to prove that he will fight for ,0
132,former aide on obama stunning that hes in politics because he really doesnt like people via ouch,-1
133, shes trying to take flak for obama since hes trying to get reelected,-1
134,so obama promises to cut the deficit spend a bunch of money on education and green energy and create jobs where have i heard this before,-1
135,good luck obama drink a bit of what biden drank last week,1
136,hello under bush  americans killed by al quada on american soil under obama  americans killed in libya next question,0
137,taxes are ridiculous my  monthly paycheck is whittled down to  id like to tell obama what i told kevin rogers ,0
138,who is terrorist  syria us ows obama ,0
139,obama is too fine ,1
140,people love to say you only voting for obama cause he is blackwell you only voting against him bc he is black thenlol,0
141,rt wi gop mailer obama didnt build that comment means he believes government builds businesses false ,0
142,celebrities help obama make his closing argument ,0
143,i love when people are so passionate about politics obama is gonna fuck up this country im all like dude let me eat my burrito in peace,0
144, not true murray obama is lying about mitt even the liberal media have called him on it in reality its obama raising taxes,-1
145,very obama,0
146, yes i think he will come out against obama really start to look for leak docs if obama made a deal with hillary it will be like,0
147,haha my doctor is one cool ass dude swear he was just talking shit on my mom and for being obama supporters lmao,0
148,fuck communism  fuck fdr  fuck obama,-1
149,dear president obama why dont you stop by my house on your way back from hofstra ive got a few suggestions for you,0
150,i feel fabulous look at this beautiful day president obama when asked how he was feeling about tonight per pool,0
151,  is absolutely right it will be a nightmare for if obama is reelected,-1
152,prediction no matter what happens in tonights debate obama will be pronounced winner progmedia stories have already been written tcot,0
153, most politicians fail but obama mr hhsmandate where do you get yr info guttmacher prochoice prolife,0
154,why obama is likely to blow the second debate too ,-1
155,how bad is obamas economy our gdp growth is worse than cuba unemployment,-1
156,i hope obama shows up this time so the left wont have to make excuses like the altitude or race as the reason why teleprompterman failed,-1
157,uninstalling obama   complete thankgod tcot debate rr p obama,-1
158,the president needs to channel a little biden for tonights debate he needs to go from obama to obama,0
159,obama it is not about being aggressive it is about connecting tonight people will be watching to see if you are engaged at all debate,0
160,misanthrope obamaformer aide on obamastunning that hes in politics because he really doesnt like people ,-1
161,join me in supporting support president obama and senate democrats via ,1
162, you mean you didnt get an obamastarbucks card,0
163,i certainly hope government transparency comes up tonight does anyone believe the obama admin has been transparent,-1
164,obamas got  problems via ,0
165,h ross perot we cant afford obama  the des moines register  romneyryan nobama obamaisntworking,-1
166,on youtube you can skip obamas ads but not romneys  how foul is that ,0
167,rt  obama loves america like oj loved nicole obama tcot,-1
168,america if you dont want obama can the uk pls have him we can look after him,0
169,nooo sad rt they shot a school girl on the head for supporting obama eish,0
170,obama doubles down on deceit fraudlying coverup by invoking exec privilege,-1
171,this is sweet obama and his crew have no issues with stabbing this baby in the head and killing it wakeupamerica ,-1
172, yes obama plan is full of details as soon as we see a plan,-1
173,u already know one black people get in they take take over just look at sports same thing with the office obama for  more years,1
174,what president obama and his jobs council are doing to create jobs republicans have stood and blocked pbo jobs plan,1
175, obama endorses failed oneway streets and mindsets,-1
176, obama sorta already has it its not a hood voice at all,0
177,obama is great at math he divides the country subtracts jobs adds debt  multiplies misery,-1
178,hillary fell on the sword for obama  or did she tcot benghazi amphonecall,0
179,hillary falls on the swordbut buck stops on obamas desk o thats right he was in las vegas at a fund raiser the day after  people died,-1
180,i find it pretty cool that obama is visiting little ole athens ohio and ohio university no ones heard of athens on my tl probably,0
181, who said this do you have the link this is exactly what i think of obama barack obama does not care about people,-1
182,why have gasoline prices doubled under obama this billboard says it all tcot teaparty ,-1
183,obama travel plans show map is wide open,0
184,is paid for by obama victory fund supposed to send a positive message,0
185,no drama vote obama hoodies at obama ,0
186,im confident obama helps fightforjobs and will continue to fightforjobs,1
187, why because obama will be able to back pedal,-1
188,p obama needs a miracle and these new democrats dont believe in god no more tcot pa mn il ca ny wiunion tommyforwi va co,-1
189,too early to say rt so if obama doesnt do well today are yall going to riot,0
190,exobama aide stunning that hes in politics because he really doesnt like people  p tcot,-1
191,herald many obama supporters for brown are actually homeless people being paid to campaign ,-1
192,seriously what kind of magic will he conjure up in order to fix what obama has broken mittens,-1
193,obama is going to lose tonights debate p tcot,-1
194, can you outline specifically your gripes about bo im no obama apologist but hes positively churchillian in comparison,0
195,neverforget  obama admitted to lying tiot p god,-1
196, president barack obama weighs in on mariah careynicki minaj feud president barack obama has better things to do im sure,0
197, i will be voting for mitt romney thanks,-1
198,just heard honey boo boo supports obama thankgoodness,0
199,rt rt when obama was elected president i cried  so did the white guy next to  ,0
200, msm will give obama win no matter what obama will make repeated focus on tax returns and  lnyhbt,-1
201,obamas investment of your money in unsustainable green jobs continues ,-1
202,obama better not suck in the debate tonightalso i just feel like sleeping that is all,0
203,tired of listening to the  democrats in my office talk about how great obama is open your eyes before you drive the us into an iceberg,-1
204,obama might just lose,-1
205,obama picks another loser in green investment ,-1
206,obamas policy is taxmagedon ie is intentional and insistent inaction the response will be outrage b,-1
207, i get to watch tonights presidential debate at a volunteer center for the obama campaign,0
208,i wonder how much negroes would like obama if he wasnt black since they always say that aint a factor,-1
209,asked who she was voting for her response obama i need my financial aid and food stamps lmfao,0
210,obama should legalize weed right before the end of his last term lol,0
211,when benghazi comes up tell obama that hell wait while obama goes to find hillary to take the question for him romneydebatetips,-1
212,i dont think obama should be promoting the support of jayz itll just make the conspiracy theorists go wild nutjobs,0
213,if obama had braces we would truly have a real life beavis and butthead,-1
214, hillarys just in on the campaign game if she honestly took responsibility she would have done so from day one drop obama,-1
215,i dont care if obama is black i care that hes a shitty president,-1
216,romneydebatetips if obama brings up gm ask whether the investors who got screwed by the bailout have sued yet,-1
217,i feel fabulous obama says in va per pool look at this beautiful day asked if hillary was to blame for benghazi he kept walking,-1
218,hope obama bring his a game nite presidentialdebate,1
219, oh no im shocked president obama lied about rev wright so disappointed hahahahahahaahaha,-1
220,the obama doctrine no leadership  just bowing ,-1
221,hillary what is it about obama that engenders this sort of fealty hes like an inept civil servant,-1
222,obama cant go higher than jayz,0
223,  obamas back up plan lmfaoooo dyingshit toooo funny,-1
224,im a indep latino and im feeling very positive about president obama tonight i hope sensata mitts accounts and taxes come up,1
225,obama will show you the way sixwordstory wrt,0
226,if obama lose im packing all my shit and moving to bikini bottom fuck the bullshit ,0
227, im voting for obama hahaa,0
228,obamas a joke,-1
229,i am proud to be apart of the team grass roots and youth team obama credits so much of his success on obama hofstradebate,1
230,those things would be getting a tattoo and voting for barack obama,1
231,obama deserves to be on american currency,1
232,glad that obama isnt taking sides in this pending crisis potus weighs in on nickimariah beef firstworldproblems,0
233, was voting against obama she asked why i said the guy is clueless a liar  lacks responsible tangible assets that a leader needs,-1
234, benghazi is about obama hiding fact that valeriej attends sec brief is making the decisions for obama he delegated amer safety,-1
235,obama can point us in the right direction all he can but its ultimately up you to make the change,1
236,obama picks another loser in green investment ,-1
237,obama the ultimate white man problem,0
238,obama secures the all important farrakhan endorsement ,-1
239,the real message from the democrats promoting a republican war on women is that obama thinks women are dumb tcot,-1
240, obama needs to get drunk do coke and get dementia before tonights debate like biden did last week p i agree,0
241,obama need to be practicing debate with ol bully biden before he gets embarrassed again,0
242,its offical barrack obama gets the endorsement of honey boo boo mitt you better redneckonize,0
243,what  years brings  obama in  on national security i will be responsible the buck will stop with me ,0
244, so why will he not work with obama anymore,0
245,osama hid behind his wives in his last moments on earth obama hides behind bills wife in is last weeks before erection scary,-1
246,obamaslogans vote obama for a free puppy on a stick,-1
247,no comfort for obama in debate history  washington post debate,-1
248, he knows the media is drooling to be able to claim an obama win and paint it as a great  comeback,-1
249,the wizard of obama the president didnt just lose a debate he lost an entire image of genius and control  ,-1
250,president you didnt build that obama really doesnt like people thank god he likes dogs better ,-1
251,amongst your prayers for today include president obama much prayer much power,1
252,so not only does obama pay women less than men but he has them take the blame for his failures lovely votolatino votestuff latism,-1
253, why is it that obama hasnt had a budget the one he proposed was voted down unanimously,-1
254,good morning you self loathing lesbian supporter of antigay obama can missiles shoot other missiles out of the sky yet moron,0
255, great idea someone should sell a comic book series of obama dispensation apropos,0
256,another misjudged performance by mr obama tonight could indeed come close to sealing his fate ,0
257,obama lists prisoner programs as budget priority for black families only so much for no black or white red or blue eh,-1
258,obama is a classic fear monger  a divider not very presidential  tcot,-1
259,clint president obama is the greatest hoax ever perpetrated on the american people,-1
260,insight could obamas ground game clinch the election  reuters ,0
261,taliban calling obama a black devil  charming people for once i agree with kristof racists,-1
262,only thing obama got in common with you idiots is color  thats why you relate and vote for him  buck,-1
263,obama on tonights debate i feel fabulous look at this beautiful day pool,0
264,the biggest war on a woman that ive seen is obamas failure to have hillarys back,-1
265, its funny that obama gave his opinion on the nicki minajmariah carey feud hopefully his opinion will inspire them to move on,0
266,barack obama wrote these never before seen letters himself pushing radicals for political positions in chicago ,-1
267,for the sake of humanity i hope barack obama is reelected in november,1
268,i wonder how president obamas new foreign policy strategy of blame hillary will play in the swing states,-1
269,why african americans are sticking with obama  the plum line  the washington post via ,-1
270,twitta tried to kill me like in a videogame obama gave me unlimited continues tho,0
271,obama not liking people like bill gates not liking computers  former aide ,-1
272,president obama confident that nicki and mariah will end feud ,0
273,the lower class is the most important class common sense the obama administration is changing some rules about how people can,0
274,dont think for one minute that favors pres obama she has a knack of hitting hard on dems,0
275,maybe someone should slip barack some honey boo boo juice just to pump him up,0
276,taliban calling obama a black devil  charming people for once i agree with kristof racists,-1
277,i just saw an obama bumper sticker i wanted to key their car romney,-1
278,my choppa name is obama it brings change when its drama,1
279,more liesdeceit from obama demoncrats never could do math go lo at the truthfacts explains mitt romneys ,-1
280,its good to know that while we have a crisis on our hands with  ppl being killed in a terrorist attack in libyaobama is busy fundraising,-1
281,why would any one want to vote for obama when he is taking down the american flag at most monumentsschools and such,-1
282,wow rt obamas weakness is turning off hispanic voters  tcot tlot tiot,-1
283,he rebut barack obama a plan to move us forward de linkedin oo hora de llevarse del linkedin ja tardava,0
284,well hecknow bush can relax obama is blaming somebody else for his troubleshillary clinton,-1
285, david obama only has a chance for a second term if he hides his true agenda and keep us from seeing his lack of character,-1
286,people we cant afford to have obama in office another  years wake up ,-1
287,itreal obama is the only president who has never been blamed for anything by the msm,-1
288,obama blames hillary for libya kerry for the debate and bush for everything else  conservative byte via ,-1
289,obamas playground policieseconomy romney is a liar liar pants on fire national securityromney isno fair hes not allowed to talk it,-1
290,obamas apprently trying to reduce dependance on foreign oil nice move ,0
291,just saw the obama brigade on the meadowbrook hofstradebate,0
292,rt lol im not above using a woman misfortune as the butt of my jokes however obama need to be aggressive,-1
293,a more aggressive obama still wont make the grade  david limbaugh on via ,-1
294,obamas mouth has been zippedexcept on the view where tough questions come fromand oh yeahletterman tcot,-1
295,latest poll obama comfortably ahead in our state  but less so than two weeks ago ,0
296, is absolutely right it will be a nightmare for if obama is reelected,-1
297, looks like you are right but because the gop blocked obamas efforts ,0
298,this is sick rt software ceo to employees if obama wins dont be surprised if i lay you off ,0
299,a more aggressive obama still wont make the grade  david limbaugh on townhall via ,-1
300,romneydebatetips if obama brings up gm remind him how much money they owe us,-1
301,breaking news honey boo boo endorses barack obama  the election is over folks go home,0
302,obama managed to get a lot done imagine what we could get done for the people wo congress full of petty partisans ,1
303,like obamacare obama core is another power grab tcot ,0
304, so obama should have just blindly trusted the muslim brotherhood like foxnews did yes or no the irony of this is hilarious,1
305, ohio coal miners condemn obamas absolute lies and sherrod brown too via ohio,-1
306,women turn on big mistake barack via ,-1
307,hillary may be bank shot setup obama gets asked about it tonight and says very comanderinchiefly no i take full responsibility,0
308, tlot tcot ucot pb obama is a joke and anybody who votes or respect the damage hes done in  years is really stupid,-1
309,cant wait to see how stupid obama looks tonight lol,-1
310,the biggest reason obama supporters are hanging on fear to be honest with themselves admitting his mistakes verifies theirs debates,-1
311,wkwkwk xd rt so obama you are a rusher and swifitie right get em nominations please,0
312,lolol and expanded unemployment  times over thanks obama ,-1
313,obama foreign policy collapses mideast stability gone us economic security oil weakened buckeyes,-1
314,obama needs to be on defense tonight iso offense he needs to defend with facts and figures no rhetoric no bs just truth if possible,0
315,jokeqwhat difference between obama and his dog boabo has a papers ,-1
316, president obama best choice for all americans  ,1
317,if obama lose its gone be alot of hungry  home less ppl,0
318, barack obamas cadillac one has in thick doors and is equipped with shotguns inside for defense sounds like my car ,0
319,reppaulryan remember obama has no accomplishments to run on,-1
320,a democratic poll has the worst news of the week for obama by ,0
321,obamalies rt obama claims we got back every dime of bailout money on same day cbo reports b loss,-1
322,obama was only waiting for more flexibility to take some blame after the election,0
323,we will look back after obama loses reelection how close this country came to being destroyed for that i will never forgive the democrats,-1
324,look at this sweet picture and just think dictator obama has no issues with stabbing this baby in the head and killing it wakeupamerica,-1
325,can somebody ask obama for more details about his plan for america forward is somewhat vague debate tcot vote,0
326,articles military families are outing obama obama is murdering our military war tblfod tcot,-1
327,since  the us has had  months of unemployment rate being higher than  of which have been with obama as president hofdebate,-1
328,statistic there hasnt been  day since obama has been president that as many people had a job as on the last day of bushs presidency,-1
329,the only candidate proposing tax increases in this campaign is barack obama cantaffordmore tcot,-1
330,hahaha obama looks hilarious ,0
331,mommy why do bad people sometimes kill our diplomats in warzones overseas because president obama hates america sweetie,-1
332,former clinton  obama aide its stunning that hes in politics because he really doesnt like people tcot p,-1
333,hes also a criminalobama is a naked emperor with a glass jaw ,-1
334, people love to say you only voting for obama cause he is black well you only voting against him bc he is black then lol,0
335,hell be awake this time rt gibbs obama will have exceptionally strong debate performance ,-1
336,email to obama lost our respect when a president of the united states does nothing about  m dems gop tlot,-1
337,anyone else find it funny that obama and antichrist both start with the letter o,0
338,if obama doesnt win is college students can forget about filing taxes because we wont get that anymore vote obama,1
339,obama is boxed in only thing he has left going for him is nice guy perception yet he must go aggressive to have a chance popcorn,-1
340, obama needs our prayers for tonights debate this is serious pass it on to your folks who believe that prayer works,1
341,you are wright americans vote for obama and biden who spends more time on vacation at your expense also his wife never useing camp david,-1
342,oeturner i just wrote a book to show the world that obama is a compete fraud thanks for the follow ,-1
343,obama doesnt care about the security of the american people here and abroad he does care about the muslim brotherhood being in power,-1
344, ha ha ha obama is too humble  said no one rational ever,0
345,president obamas abuse of executive power ,-1
346,i bet obama is like a really cool uncle,0
347,cant wait to see this barack character tomorrow i hope hes a comedian mylamboisblue ,-1
348,obama haha how fn interesting ,0
349, obama did poorly in the first debate so now tnr concludes that the debates shouldnt be so important ,-1
350,taliban racists too rt taliban statement also says malala targeted  saying her ideal is black devil obama,0
351,he feels fabulous someone upped the dosage on their meds today whatever it takes obama ,0
352,poll q do you think obama is going to make a joking reference to his poor performance in the last debate tonite i do,0
353,obama is the dumbest piece of shit ive ever seen moron,-1
354,i have a feeling that obama still has a sucker punch left in him,0
355,never knew victoriajackson was a gay hating right wing thinks obama is a communist loopy batshit crazy woman wow ,0
356, this is what hillary said when she was running for pres remember  shame on you barack obama meet me in oh barack obama,0
357,fundraising numbers show obama raising more from military than romney president obama is raising significantly  ,0
358,thingsobamavotersbelieve obama has reduced the deficit,-1
359,moistlife correct obama the communist snuck into the white house using the race card to deflect investigation into his past,-1
360,another obama stimulus failure battery maker a expects loan default is a loser,-1
361,dukemaximum this makes obama look weak having hillary take responsibility,-1
362,obama lied what a surprise rt despite obamas  claims pol rlshp w rev wright began as early as  ,-1
363, president obama i said i would end the war in iraq and i did promisekept,1
364,if were going to blame obama for gas prices going from  to  can we also blame him for the dow going from  to ,1
365,obama just had an algore bully moment advanced on mitt turned around back to seat,0
366,obama acts way to white to be considered the first black president,-1
367,obama is a pansy,-1
368,well look at obama being respectful instead of whining about getting your response time growupromney,1
369,how rude of you obama,-1
370,obama on fire i got osama boom obamacare is exactly the same as romneycare boom romney is worse than bush boom,1
371,i almost feel sorry for obama when mitt points out unemployment debt etc its a powerful point,-1
372,obama has done nothing for the last  years besides burying us in debt debates,-1
373,obama got this in the bag,1
374,obama is a nut debate,-1
375,what do you guys see in obama hes gotten us in over  trillion dollars in debt guess what guys we will be paying for that when were older,-1
376,obama what do you have planned for america if reelected ummm idk but i can tell you what i think romney cant do,-1
377,i see obama as a celebrity not as our president,-1
378,if you listen to what obama has to say youll understand why were all teamobama,1
379,obama will you answer the question asked democrats tcot ,-1
380,obama is an amazing speaker,1
381,i wonder if we ever figured out if obama has a legit birth certificate,-1
382,obama has big ears lol,0
383,yesss obama is right on point hispanics givethemgreencards,1
384,look at obamas hairline lol,0
385,obama did you not sue az just a little while ago hypocrit lies debate stfu,-1
386,barack obama is pretty fly tho you have to admit,1
387,obama needs to shut up and stop interrupting rude romneyforpresident timeforachange,-1
388,obamas smile is heartwarming,1
389,wow obama is such a gentlemen not romneyryan,-1
390,our president cool as shit  cause anybody else would have been ready to whoop mitt ass and cuss him out letsbereal,-1
391,again obama is running like he hasnt been the president for the last  years debate,-1
392,obama is such a chill person lol ,1
393,obama hot on this topic,1
394,im so tired of obama lying,-1
395,obama has huge ears i never noticed,0
396,obama flies off to two different fund raisers the day after the libia embassy killings wow thats leadership alright,-1
397,obamas making things up again debate,-1
398,obama can say what he wants but weve all seen what hes done in the past  years actions speak louder than words hofstradebate,-1
399,bs thy name is obama,-1
400,obama said if he didnt turn the economy around hed be a one term president he made it worse does america want a liar for a president,-1
401,in a little less than an hour and i half i will finally be old enough to not vote for obama,-1
402,obama needs to shut up and dye his hair,-1
403,oh obama wants to close loopholes good thing he waited  years to come up with his awesome new idea tngopdebate,-1
404,obama says education key to stopping violence aurora shooter was a phd student ,-1
405,obama is definitely inproved from the previous debate some more experience and he may get good enough to be elected to the senate ,-1
406,obama just said when i was president this explains a lot,-1
407,obama is clearly the better option,1
408,obama is distorting tax code in his answer,-1
409,obama says he wants to cut the corporate tax rate wasnt he president for the last  years what was the holdup,-1
410,obama and candy lied our ambassador died no obama didnt call benghazi act of terror in speech  ,-1
411,wanna hear a joke barack obama,-1
412,good job obama he really brought forth the issues and his plans to fix them he was really tackling the real economic issues teambarack,1
413,how could you dislike a man like obama,1
414,pretty clear victory for obama,1
415,apparently obama has the healin powers of christ debates,-1
416,obama believes in selfreliance hahahahahahahahaha,-1
417,who was it that denied enhanced security and why obama fails to answer but then he finally comes clean about what he knew at the time,-1
418,great job president obama voteobama,1
419, president obama showed his strength tonight a lot of factually facts were stated from the president great job,1
420,if you dont want to vote for obama for other reasons fine but dont act like he could have supermanned the economy in four years,1
421,obama kept saying thats just not truewhat my president really wanted to say was nigga thats some bull shit,0
422,obamadidnt kill bin laden one of my brother in arms did he just happened to be president obama didnt find him soliders did,-1
423,this was not just obama doing what he had to do this was obama throwing down a doublepump slam dunk launched from  point land debate,1
424,obama lied heres the fact check on his promised changes as per  hofstradebate fightforjobs,-1
425,obama save the best for last the  percent,1
426,game set and match toobama he got it he fought back he gave us all more than ample reason to carry on the fight ,1
427,obama was on his a game tonight clear winner obama ,1
428,obama is just a terrorist justkidding probablyisthough killedambassador seeyaobama ,-1
429,obama saves  for the last two minute so that romney couldnt respond crafty debate,0
430,and if i hear one more person say obama killed osama im gonna lose my mind real heroes killed him not obama get your facts straight,-1
431,landslide victory for obama we saw one president for all americans on that stage tonight obama forward,1
432,presidentobamastruggled for weeks to offer a consistent story about the terrorist strike in benghazi debates cantaffordmore,-1
433,obama was tyson in his prime tonight,1
434,obama wonthe whole thing but especially the last question debate,1
435,obama doubles down on his cover up i love it,-1
